,zipcode,state,lng,lat
79,01258,MA,-73.456575,42.101153
80,01259,MA,-73.260933,42.078014
81,01262,MA,-73.322263,42.30104
82,01266,MA,-73.38251,42.334752
83,01267,MA,-73.20364,42.708883
84,01270,MA,-73.04661,42.509494
85,01301,MA,-72.601847,42.601222
86,01330,MA,-72.810998,42.523207
87,01331,MA,-72.214644,42.592065
88,01337,MA,-72.563439,42.683784
89,01338,MA,-72.764124,42.615174
90,01339,MA,-72.880162,42.621802
91,01340,MA,-72.726508,42.67905
92,01341,MA,-72.702473,42.513832
93,01342,MA,-72.607234,42.540636
94,01344,MA,-72.416638,42.604957
95,01346,MA,-72.839101,42.685347
