,DISTANCE,CASES,WEIGHT,VOLUME,ORIGIN ZIP,DEST ZIP,ACTUAL MODE,ACTUAL EQUIP,PU_APPT,DL_APPT
1695303,2046.2,5,9.75,0.22,53158,90065,CORP.PARCEL,CORP.53DV,10/22/2021 22:10,10/29/2021 0:10
3566986,1516.4,0,767.37,147.06,17406,77474,MTNORAM.LTL,MTNORAM.53DV,2/24/2022 20:02,3/5/2022 2:03
1046508,1520.46,31,2.0,2.33,6498,77489,CORP.TL,CORP.53BK,2/11/2022 23:02,2/13/2022 23:02
4502730,2567.0,2,1.66,0.07,17345,98837,MTNORAM.PARCEL,MTNORAM.53DV,5/18/2022 22:05,5/20/2022 15:05
4573052,216.9,1,0.27,0.03,17345,10577,MTNORAM.PARCEL,MTNORAM.53DV,5/23/2022 22:05,5/24/2022 18:05
3209625,157.2,1,0.54,0.05,17345,8753,MTNORAM.PARCEL,MTNORAM.53DV,8/1/2022 17:08,8/2/2022 18:08
2441433,0.0,127,16243.3,1538.85,46168,46168,CORP.LTL,CORP.53DV,4/18/2022 20:04,4/20/2022 20:00
4282279,1054.4,3,6.65,0.3,17345,32503,MTNORAM.PARCEL,MTNORAM.53DV,4/28/2022 16:04,5/2/2022 20:05
3273367,210.4,2,2.77,0.13,17345,13760,MTNORAM.PARCEL,MTNORAM.53DV,8/8/2022 12:08,8/9/2022 18:08
4122405,69.0,0,211.64,39.55,17011,19606,MTNORAM.LTL,MTNORAM.53DV,11/12/2021 3:11,11/12/2021 15:11
2443156,5.0,58,5981.1,1913.38,98516,98516,CORP.TL,CORP.53DV,3/30/2022 20:00,3/31/2022 20:00
4867259,2763.9,24,6.0,0.34,8512,91355,MTNORAM.PARCEL,MTNORAM.53DV,4/12/2022 0:04,4/16/2022 0:04
703917,1015.2,24,1.68,0.09,38134,33134,CORP.PARCEL,CORP.53DV,2/22/2022 18:02,3/1/2022 20:03
3947165,0.0,34,4320.0,2643840.0,76246,20070,MTNORAM.TL,MTNORAM.53DV,1/8/2022 14:01,1/8/2022 16:01
3660664,456.7,2,3.03,0.15,17345,45036,MTNORAM.PARCEL,MTNORAM.53DV,3/14/2022 20:03,3/15/2022 18:03
3909057,631.0,91,9691.84,466.08,46158,31820,MTNORAM.LTL,MTNORAM.53DV,12/6/2021 21:12,12/8/2021 13:12
4706448,1121.7,1,1.1,0.05,17345,33912,MTNORAM.PARCEL,MTNORAM.53DV,5/31/2022 17:05,6/1/2022 18:06
246723,553.6,10,1148.0,270.3,32824,35211,CORP.LTL,CORP.53DV,7/15/2022 20:00,7/20/2022 19:00
480594,828.2,2,0.25,0.0,38637,33584,CORP.PARCEL,CORP.53DV,7/22/2022 22:07,7/25/2022 12:07
1096360,684.9,40,2.82,0.42,38134,29506,CORP.PARCEL,CORP.53DV,2/7/2022 18:02,2/9/2022 23:02
1571988,1078.2,7,0.32,0.04,38134,7011,CORP.PARCEL,CORP.53DV,9/23/2021 15:09,9/27/2021 19:09
2900879,2129.0,1,0.82,0.1,17345,83404,MTNORAM.PARCEL,MTNORAM.53DV,9/20/2022 13:09,9/21/2022 14:09
1947182,599.05,2,0.0,2.0,38637,46628,CORP.PARCEL,CORP.53DV,10/7/2021 22:10,10/11/2021 19:10
2437585,167.4,1,4.0,1.17,78759,77478,CORP.TL,CORP.53BK,6/10/2022 19:06,6/10/2022 22:06
224803,826.4,1560,496.89,7.7,30083,77478,CORP.LTL,CORP.53RF,7/27/2022 11:07,7/28/2022 13:07
1926237,786.01,1,6.0,700.0,38637,15222,CORP.PARCEL,CORP.53DV,10/15/2021 22:10,10/19/2021 19:10
1878488,266.2,5344,35.0,16.33,75261,77489,CORP.TL,CORP.53BK,10/28/2021 1:10,10/28/2021 6:10
3599817,456.7,1,3.3,0.16,17345,45036,MTNORAM.PARCEL,MTNORAM.53DV,3/14/2022 20:03,3/15/2022 18:03
385679,272.6,100,1.0,0.0,75261,77478,CORP.TL,CORP.53BK,9/6/2022 1:09,9/6/2022 6:09
3797122,456.7,1,0.84,0.04,17345,45036,MTNORAM.PARCEL,MTNORAM.53DV,3/21/2022 18:03,3/22/2022 17:03
447242,776.99,11,12.62,0.0,38637,44515-2305,CORP.PARCEL,CORP.53DV,7/24/2022 22:07,7/26/2022 19:07
2296114,824.3,4,68.61,4.03,53158,19107,CORP.PARCEL,CORP.53DV,6/3/2022 17:06,6/7/2022 18:06
1374316,6.9,1,140.0,50.47,78728,78660-3883,CORP.LTL,CORP.53DV,12/13/2021 20:12,12/14/2021 21:12
1236417,414.9,1,3.95,0.07,53158,43204,CORP.PARCEL,CORP.53DV,1/12/2022 0:01,1/14/2022 1:01
1211912,734.9,0,0.19,0.01,53158,30165,CORP.PARCEL,CORP.53DV,1/20/2022 0:01,1/21/2022 20:01
3032211,922.4,3,1.66,0.09,17345,65203,MTNORAM.PARCEL,MTNORAM.53DV,7/12/2022 21:07,7/13/2022 19:07
2294031,861.0,0,0.19,0.01,53158,36089,CORP.PARCEL,CORP.53DV,6/16/2022 10:06,6/17/2022 23:06
